,,c_p,c_m,a0_m,b0_m,delta_m,s_m,a0_h,b0_h,delta_h,s_h,a0_j,b0_j,delta_j,s_j,tau_j_const,R,R_f,g_max,g_leak,tau_z,v_half_m,v_half_h,k_m,k_h,x_c_comp,x_r_comp,alpha,v_off,v_rev,v_c,tau_m_const,tau_h_const
2020_12_22_0006,211125_050230,5.072662570556196e-14,1.4097488990797593e-11,23814.114704716707,96.63471761218129,180.0319030408221,6.377168631574744,7.638717244208538,5947.682226597893,1.045352887350728,37.43413967233171,0.7697316643208354,9771.631050958487,6.712204118635796,269.0579431988651,0.001191303610268255,179850012.4631082,1759139.0507843655,9893.479608549596,0.5252743400932391,3.2871572442968066e-05,35.50729739308086,93.51582234420886,3.564701285859744,9.609668409029616,0.0402389363749362,0.1496748246630986,0.7095671952515517,-0.02,35.25461461204505,-80.0,1.2757547220366725e-05,0.001571700586985137
2020_12_22_0006,211125_175451,6.0038873644476e-12,1.6402244881810624e-11,68297.77114284749,166.2738992596829,44.92240638573422,77.98414756076379,0.9451240361601639,12874.199877700596,1.7992490675058108,4.535401144195949,0.5684141120537515,3039.424941017762,6.518578366434672,7.334822503302353,0.0019615847542596944,341161421.7483986,30451.893069668873,402241.6277417859,0.5708990794668255,0.0004390388979476514,22.80784985893609,75.66444498000091,5.177693091211496,9.140240041705782,0.0119679834723139,0.011476025441758,0.7723276638475606,-0.02,19.88997931556915,-80.0,2.7970736992991098e-05,3.653754803415256e-05
2020_12_22_0032,211124_023152,6.626591721294108e-12,1.257179405983234e-11,57938.2449791718,941.2888064759485,42.62577951792487,11.20985883754405,47.68591457432282,6307.875083319422,32.42090582703181,43.0604773141583,4.7318509546770215,1479.1765157007226,22.979017811587024,183.80112405355683,0.003202781397269569,358440963.1591563,115301.91854176561,6378.413747597854,0.4188609903437178,0.00046873900848981104,30.08300488765874,57.28283870635676,4.365842808337147,5.317382198081102,0.0443973915365573,0.0223674838791956,0.7232016916657744,-0.02,27.932604408206,-80.0,2.2191194949093397e-06,0.001886598016497783
2020_12_22_0032,211125_054825,6.087134635862993e-12,1.1249974663375224e-11,7492.436898921986,1954.8526508352486,24.944547445834253,2.4243186424413885,4.071658575839416,55076.362888786825,6.081152327926966,11.557796925065142,0.10176570954080931,6851.994441232346,19.911373691067116,41.662885775720106,0.008770785911195537,416508222.28415966,48414.45548711265,270297.4616739435,0.43099672289091817,0.0005499388985699021,33.48705721689694,80.04387907633615,2.6467978547048205,4.79676405732633,0.0106446188232097,0.2233547576922148,0.7882822675818942,-0.02,37.85129652810747,-80.0,4.0833835428286255e-07,0.0017279970787020486
2020_12_22_0032,211125_184055,2.317712792385239e-13,1.225830751642696e-11,1673.6078859512852,113.33078374074802,222.2472292578586,1.3264620565235559,13.716679952290788,8031.386529598567,1.2244517255224547,23.39604613862724,0.7561500068849525,107972.05993254055,5.568675590769047,12.190701391548423,0.0018974562366378725,120445492.481321,41077.80988801315,14411.80420508918,0.3535432061976803,3.3177446282884574e-05,37.19670222604257,86.10616955780688,5.3129542934112095,6.420142347324465,0.1298605421353428,0.7893129218631182,0.7899978551734997,-0.02,32.40871938741423,-80.0,5.991497725596183e-07,0.0003436012304842906
2020_12_23_0007,211124_031230,8.435462064215667e-12,1.7648492696881126e-11,8056.261031376215,257.4491932237982,9.582220953487516,28.368251253836924,25.124804204271403,450134.4178979061,56.05411082998349,3.8045969543913674,4.582813666070397,93193.20493744867,3.2619773203858156,10.200245599068621,0.008592336816505746,368285936.033917,213359.14184873222,238764.37405755973,0.26623914324962833,0.00039949060840800644,10.734765219078366,66.56422938303115,9.526018637502531,9.881206691235056,0.0543501944038355,0.1376357448284008,0.7318521227794399,-0.02,27.792296770849138,-80.0,1.86465534650089e-07,2.242360742052976e-05
2020_12_23_0007,211125_063633,7.404543032782858e-12,1.600986523868564e-11,1716.2138753873485,3396.4456201913226,38.99179360884392,9.043452918161293,1.6503813182900668,228248.61651694047,24.7364166490402,2.7985939924809613,4.9176070119441295,40296.149965635974,3.3170992387992726,23.22652962907642,0.009500374081021314,376934346.0371197,3876.8581693149363,33135.15071268565,0.2639325997315171,0.0004349670413705519,15.421768936574615,60.052766274691045,8.26114687734772,9.993659877450003,0.0180771654567165,0.5269879723532171,0.75757300782595,-0.02,37.91158375955144,-80.0,5.324340476857423e-07,2.4736623239187402e-05
2020_12_23_0007,211125_192705,6.270037926503968e-12,1.68021531381614e-11,9475.221357943103,1258.4864895182732,23.15106236583294,5.305107850451568,2.2902750310184095,67803.71173958687,76.94171623372654,79.10768464944599,0.29186289015094774,18428.54328213316,26.505704556297886,49.55805363030062,0.010240202666461416,360827571.7691876,359576.97359102085,46876.889202648345,0.2585123748533496,0.0004705776503557932,13.424239957407108,60.94253197221028,9.479666384385885,9.715087873097126,0.0107781764125416,0.5620562394817068,0.7358280946100071,-0.02,37.42206728700416,-80.0,1.6673343658654473e-07,8.323452163329986e-05
2020_12_26_0000,211124_035332,7.76660734466428e-12,2.6668363903419157e-11,20106.705943916953,54.950522213378335,198.3237751883815,6.164381887124702,5.0512542059696806,14332.650967935038,12.618716698564418,12.629126336555512,1.732730692253685,102514.78999089226,5.439491948638028,10.581439933789271,0.00013783222886773125,60408168.25377197,3232014.9066653033,21306.113753995338,0.1396802576473828,0.0009980921087630787,43.47664154527551,71.49319595879516,1.0223697592712448,1.0104637176282392,0.889752011851667,1.0056183008021815,0.7005635505999351,-0.02,25.387823653452976,-80.0,1.5515273428203596e-06,0.0013518547657397717
2020_12_26_0000,211125_072404,2.2412119035705582e-13,2.0431812477374413e-11,1786.894323145816,893.6454404118427,25.235589367708474,31.39365226592407,48.56986915103461,100509.63760832441,28.294621008808235,10.356315606313977,0.6728570871586432,35271.36430152794,4.678794052042382,36.17463968078317,0.000179833409725247,77669218.6458691,8253.32395395146,41588.96673656599,0.3911424937957126,6.0596759124242335e-05,20.05129774311956,69.92926126109731,9.993691802359162,3.396162899379773,0.1101336350795026,0.7007054249917641,0.7459076037869372,-0.02,37.85795017575744,-80.0,6.315868285827773e-05,0.0012738810839103697
